# Reverse Shock Dynamics
# t_e 	 t_a 	 a_synch 	 B_eq 	 Gamma_e 	 E_syn 	 Gamma_r 	 E_diss

55894.5 	 8.07465 	 7.45149 	 540.418 	 95639.8 	 5045.14 	 61.2374 	 3.17829e+48
56047.9 	 8.09512 	 7.46686 	 538.835 	 95602.7 	 5028.15 	 61.2582 	 3.17135e+48
56201.3 	 8.1156 	 7.4929 	 537.479 	 95643.5 	 5017.91 	 61.2353 	 3.16082e+48
56354.6 	 8.13608 	 7.50833 	 535.913 	 95607 	 5001.15 	 61.2558 	 3.15386e+48
56508.1 	 8.15656 	 7.53446 	 534.574 	 95648.3 	 4991.07 	 61.2326 	 3.14337e+48
56661.4 	 8.17704 	 7.54995 	 533.027 	 95612.4 	 4974.52 	 61.2527 	 3.13649e+48
56814.8 	 8.19752 	 7.56547 	 531.489 	 95576.9 	 4958.1 	 61.2727 	 3.12971e+48
56968.2 	 8.218 	 7.59175 	 530.174 	 95619 	 4948.29 	 61.249 	 3.11933e+48
57121.6 	 8.23848 	 7.60733 	 528.654 	 95584.1 	 4932.07 	 61.2686 	 3.11253e+48
57275.1 	 8.25896 	 7.63372 	 527.356 	 95626.8 	 4922.43 	 61.2447 	 3.10219e+48
57428.5 	 8.27944 	 7.64935 	 525.852 	 95592.4 	 4906.42 	 61.2639 	 3.09546e+48
57581.9 	 8.29992 	 7.67584 	 524.57 	 95635.5 	 4896.93 	 61.2398 	 3.0852e+48
57735.3 	 8.3204 	 7.69153 	 523.083 	 95601.7 	 4881.11 	 61.2587 	 3.07858e+48
57888.7 	 8.34088 	 7.71811 	 521.816 	 95645.2 	 4871.78 	 61.2343 	 3.06838e+48
58042.1 	 8.36136 	 7.73386 	 520.346 	 95612 	 4856.16 	 61.253 	 3.06186e+48
58195.5 	 8.38184 	 7.74965 	 518.885 	 95579.2 	 4840.66 	 61.2714 	 3.0552e+48
58348.9 	 8.40232 	 7.77639 	 517.641 	 95623.5 	 4831.57 	 61.2465 	 3.04513e+48
58502.4 	 8.42279 	 7.79223 	 516.196 	 95591.2 	 4816.25 	 61.2646 	 3.03868e+48
58655.8 	 8.44327 	 7.81906 	 514.966 	 95636 	 4807.31 	 61.2395 	 3.0286e+48
58809.2 	 8.46375 	 7.83497 	 513.538 	 95604.2 	 4792.18 	 61.2573 	 3.02213e+48
58962.7 	 8.48423 	 7.8509 	 512.118 	 95572.9 	 4777.17 	 61.2749 	 3.01567e+48
59116.1 	 8.50471 	 7.87789 	 510.91 	 95618.4 	 4768.45 	 61.2494 	 3.00586e+48
59269.5 	 8.52519 	 7.89388 	 509.505 	 95587.6 	 4753.62 	 61.2666 	 2.99939e+48
59422.9 	 8.54567 	 7.92097 	 508.312 	 95633.5 	 4745.04 	 61.2409 	 2.9896e+48
59576.4 	 8.56615 	 7.93702 	 506.922 	 95603.2 	 4730.39 	 61.2579 	 2.98321e+48
59729.8 	 8.58663 	 7.95311 	 505.541 	 95573.3 	 4715.84 	 61.2747 	 2.97686e+48
59883.2 	 8.60711 	 7.98034 	 504.369 	 95619.9 	 4707.48 	 61.2485 	 2.96721e+48
60036.7 	 8.62759 	 7.99649 	 503.002 	 95590.5 	 4693.11 	 61.265 	 2.9609e+48
60190.1 	 8.64807 	 8.02383 	 501.843 	 95637.5 	 4684.88 	 61.2387 	 2.95128e+48
60343.6 	 8.66855 	 8.04003 	 500.491 	 95608.6 	 4670.68 	 61.2549 	 2.945e+48
60497 	 8.68903 	 8.05627 	 499.147 	 95580.1 	 4656.57 	 61.2708 	 2.93876e+48
60650.5 	 8.70951 	 8.08375 	 498.009 	 95627.8 	 4648.56 	 61.2441 	 2.92921e+48
60803.9 	 8.72999 	 8.10005 	 496.679 	 95599.7 	 4634.62 	 61.2598 	 2.92302e+48
60957.4 	 8.75046 	 8.11638 	 495.357 	 95572.1 	 4620.77 	 61.2754 	 2.91693e+48
61110.8 	 8.77094 	 8.14402 	 494.238 	 95620.4 	 4612.96 	 61.2482 	 2.90748e+48
61264.3 	 8.79142 	 8.1604 	 492.93 	 95593.2 	 4599.28 	 61.2635 	 2.90134e+48
61417.7 	 8.8119 	 8.17682 	 491.629 	 95566.4 	 4585.69 	 61.2785 	 2.89521e+48
61571.2 	 8.83238 	 8.20461 	 490.53 	 95615.4 	 4578.08 	 61.2511 	 2.88593e+48
61724.6 	 8.85286 	 8.22109 	 489.243 	 95589 	 4564.65 	 61.2658 	 2.8798e+48
61878.1 	 8.87334 	 8.23761 	 487.963 	 95563 	 4551.31 	 61.2804 	 2.87386e+48
62031.6 	 8.89382 	 8.26555 	 486.882 	 95612.7 	 4543.89 	 61.2526 	 2.86459e+48
62185 	 8.9143 	 8.28212 	 485.616 	 95587.1 	 4530.71 	 61.2669 	 2.85853e+48
62338.5 	 8.93478 	 8.29873 	 484.356 	 95561.9 	 4517.61 	 61.2811 	 2.85261e+48
62492 	 8.95526 	 8.32682 	 483.294 	 95612.1 	 4510.38 	 61.2529 	 2.84345e+48
62645.4 	 8.97574 	 8.34348 	 482.047 	 95587.4 	 4497.43 	 61.2668 	 2.83748e+48
62798.9 	 8.99622 	 8.36018 	 480.808 	 95562.9 	 4484.57 	 61.2805 	 2.83166e+48
62952.4 	 9.0167 	 8.38842 	 479.763 	 95613.8 	 4477.52 	 61.2519 	 2.82256e+48
63105.9 	 9.03718 	 8.40518 	 478.537 	 95589.8 	 4464.8 	 61.2654 	 2.81673e+48
63259.3 	 9.05766 	 8.42197 	 477.316 	 95566.1 	 4452.18 	 61.2787 	 2.81086e+48
63412.8 	 9.07814 	 8.45037 	 476.289 	 95617.6 	 4445.29 	 61.2498 	 2.8019e+48
63566.3 	 9.09862 	 8.46721 	 475.082 	 95594.4 	 4432.81 	 61.2628 	 2.7961e+48
63719.8 	 9.1191 	 8.48409 	 473.88 	 95571.4 	 4420.41 	 61.2757 	 2.7903e+48
63873.2 	 9.13958 	 8.51264 	 472.871 	 95623.5 	 4413.69 	 61.2465 	 2.78139e+48
64026.7 	 9.16006 	 8.52958 	 471.682 	 95601 	 4401.42 	 61.2591 	 2.77564e+48
64180.2 	 9.18054 	 8.54655 	 470.499 	 95578.8 	 4389.24 	 61.2716 	 2.76988e+48
64333.7 	 9.20102 	 8.56356 	 469.323 	 95556.9 	 4377.14 	 61.2838 	 2.76422e+48
64487.2 	 9.22149 	 8.59231 	 468.335 	 95609.9 	 4370.65 	 61.2542 	 2.7554e+48
64640.7 	 9.24197 	 8.60938 	 467.171 	 95588.4 	 4358.68 	 61.2662 	 2.7498e+48
64794.2 	 9.26245 	 8.62647 	 466.012 	 95567.2 	 4346.79 	 61.2781 	 2.7441e+48
64947.7 	 9.28293 	 8.65538 	 465.041 	 95620.6 	 4340.46 	 61.2481 	 2.7354e+48
65101.1 	 9.30341 	 8.67253 	 463.894 	 95599.9 	 4328.7 	 61.2598 	 2.72978e+48
65254.6 	 9.32389 	 8.68972 	 462.753 	 95579.4 	 4317.01 	 61.2712 	 2.72419e+48
65408.1 	 9.34437 	 8.70694 	 461.619 	 95559.2 	 4305.4 	 61.2826 	 2.71867e+48
65561.6 	 9.36485 	 8.73605 	 460.669 	 95613.5 	 4299.29 	 61.2521 	 2.7101e+48
65715.1 	 9.38533 	 8.75333 	 459.545 	 95593.7 	 4287.81 	 61.2632 	 2.70452e+48
65868.6 	 9.40581 	 8.77065 	 458.427 	 95574.2 	 4276.4 	 61.2742 	 2.69899e+48
66022.1 	 9.42629 	 8.788 	 457.315 	 95555 	 4265.06 	 61.2849 	 2.6935e+48
66175.6 	 9.44677 	 8.81731 	 456.386 	 95610 	 4259.15 	 61.2541 	 2.68501e+48
66329.1 	 9.46725 	 8.83472 	 455.285 	 95591.2 	 4247.93 	 61.2646 	 2.67958e+48
66482.6 	 9.48773 	 8.85216 	 454.19 	 95572.6 	 4236.79 	 61.275 	 2.67409e+48
66636.1 	 9.50821 	 8.86963 	 453.1 	 95554.4 	 4225.71 	 61.2853 	 2.66863e+48
66789.6 	 9.52869 	 8.89915 	 452.191 	 95610.2 	 4220 	 61.254 	 2.66025e+48
66943.1 	 9.54917 	 8.91668 	 451.112 	 95592.2 	 4209.05 	 61.264 	 2.65489e+48
67096.6 	 9.56965 	 8.93424 	 450.038 	 95574.6 	 4198.16 	 61.2739 	 2.64947e+48
67250.2 	 9.59013 	 8.95184 	 448.97 	 95557.3 	 4187.34 	 61.2836 	 2.64415e+48
67403.7 	 9.61061 	 8.98156 	 448.08 	 95613.8 	 4181.82 	 61.2519 	 2.63582e+48
67557.2 	 9.63109 	 8.99922 	 447.022 	 95596.8 	 4171.11 	 61.2615 	 2.63048e+48
67710.7 	 9.65157 	 9.01691 	 445.969 	 95580.1 	 4160.47 	 61.2709 	 2.62523e+48
67864.2 	 9.67205 	 9.03463 	 444.922 	 95563.6 	 4149.9 	 61.2801 	 2.61989e+48
68017.7 	 9.69253 	 9.05239 	 443.881 	 95547.5 	 4139.39 	 61.2891 	 2.61462e+48
68171.2 	 9.71301 	 9.08237 	 443.014 	 95604.9 	 4134.11 	 61.2569 	 2.60645e+48
68324.8 	 9.73349 	 9.10018 	 441.982 	 95589.1 	 4123.71 	 61.2658 	 2.60123e+48
68478.3 	 9.75397 	 9.11803 	 440.955 	 95573.5 	 4113.38 	 61.2745 	 2.59598e+48
68631.8 	 9.77444 	 9.13591 	 439.934 	 95558.2 	 4103.11 	 61.2831 	 2.59076e+48
68785.3 	 9.79492 	 9.16609 	 439.085 	 95616.3 	 4097.99 	 61.2505 	 2.58271e+48
68938.8 	 9.8154 	 9.18403 	 438.073 	 95601.3 	 4087.83 	 61.2589 	 2.57752e+48
69092.4 	 9.83588 	 9.202 	 437.066 	 95586.6 	 4077.72 	 61.2672 	 2.57237e+48
69245.9 	 9.85636 	 9.22001 	 436.064 	 95572.1 	 4067.68 	 61.2753 	 2.56719e+48
69399.4 	 9.87684 	 9.23805 	 435.067 	 95557.9 	 4057.7 	 61.2833 	 2.56212e+48
69553 	 9.89732 	 9.26849 	 434.241 	 95616.9 	 4052.81 	 61.2502 	 2.55419e+48
69706.5 	 9.9178 	 9.28658 	 433.253 	 95603 	 4042.93 	 61.258 	 2.54902e+48
69860 	 9.93828 	 9.30471 	 432.27 	 95589.4 	 4033.11 	 61.2656 	 2.54395e+48
70013.5 	 9.95876 	 9.32288 	 431.292 	 95576 	 4023.35 	 61.2731 	 2.5389e+48
70167.1 	 9.97924 	 9.34107 	 430.318 	 95562.9 	 4013.65 	 61.2805 	 2.53378e+48
70320.6 	 9.99972 	 9.35931 	 429.35 	 95550 	 4004.01 	 61.2877 	 2.52875e+48
70474.1 	 10.0202 	 9.39005 	 428.549 	 95610 	 3999.36 	 61.2541 	 2.52095e+48
70627.7 	 10.0407 	 9.40834 	 427.589 	 95597.4 	 3989.81 	 61.2611 	 2.51594e+48
70781.2 	 10.0612 	 9.42666 	 426.634 	 95585.1 	 3980.32 	 61.2681 	 2.51096e+48
70934.7 	 10.0816 	 9.44502 	 425.684 	 95573 	 3970.89 	 61.2748 	 2.50596e+48
71088.3 	 10.1021 	 9.46341 	 424.738 	 95561.1 	 3961.52 	 61.2815 	 2.50103e+48
71241.8 	 10.1226 	 9.48183 	 423.797 	 95549.5 	 3952.2 	 61.288 	 2.49601e+48
71395.4 	 10.1431 	 9.51289 	 423.02 	 95610.5 	 3947.79 	 61.2538 	 2.4884e+48
71548.9 	 10.1636 	 9.53137 	 422.088 	 95599.2 	 3938.56 	 61.2601 	 2.48343e+48
71702.4 	 10.184 	 9.54988 	 421.159 	 95588.1 	 3929.39 	 61.2664 	 2.47854e+48
