# Thermal Dynamics
# t_e (s) 	 t_a (s) 	 delt_a (s) 	 T_phot (K) 	 L_phot (erg/s) 	 R_phot (cm/c) 

8.54725 	 6.34001 	 9.34636e-06 	 9.52114e+08 	 8.68589e+49 	 2.20724
8.62258 	 6.36001 	 9.74008e-06 	 9.31389e+08 	 8.49683e+49 	 2.26257
8.70211 	 6.38001 	 1.01709e-05 	 9.10135e+08 	 8.30293e+49 	 2.3221
8.78611 	 6.40001 	 1.06424e-05 	 8.88405e+08 	 8.10469e+49 	 2.3861
8.87486 	 6.42001 	 1.11583e-05 	 8.66254e+08 	 7.90261e+49 	 2.45485
8.96869 	 6.44001 	 1.17232e-05 	 8.43736e+08 	 7.69719e+49 	 2.52867
9.06793 	 6.46001 	 1.23419e-05 	 8.20907e+08 	 7.48893e+49 	 2.60792
9.17298 	 6.48001 	 1.302e-05 	 7.97821e+08 	 7.27832e+49 	 2.69297
9.28425 	 6.50001 	 1.37637e-05 	 7.74532e+08 	 7.06586e+49 	 2.78424
9.40219 	 6.52001 	 1.458e-05 	 7.51093e+08 	 6.85203e+49 	 2.88217
9.52729 	 6.54002 	 1.54769e-05 	 7.27556e+08 	 6.63731e+49 	 2.98728
9.6601 	 6.56002 	 1.64632e-05 	 7.03974e+08 	 6.42218e+49 	 3.10009
9.80122 	 6.58002 	 1.75491e-05 	 6.80396e+08 	 6.20708e+49 	 3.2212
9.95129 	 6.60002 	 1.8746e-05 	 6.56871e+08 	 5.99247e+49 	 3.35128
10.111 	 6.62002 	 2.00668e-05 	 6.33446e+08 	 5.77877e+49 	 3.49102
10.2812 	 6.64002 	 2.15262e-05 	 6.10167e+08 	 5.5664e+49 	 3.64121
10.4627 	 6.66002 	 2.31409e-05 	 5.87078e+08 	 5.35576e+49 	 3.8027
10.6565 	 6.68003 	 2.49298e-05 	 5.6422e+08 	 5.14724e+49 	 3.97645
10.8635 	 6.70003 	 2.69145e-05 	 5.41633e+08 	 4.94118e+49 	 4.16348
11.085 	 6.72003 	 2.91198e-05 	 5.19355e+08 	 4.73795e+49 	 4.36493
11.3221 	 6.74003 	 3.15737e-05 	 4.97422e+08 	 4.53785e+49 	 4.58205
11.5762 	 6.76003 	 3.43084e-05 	 4.75866e+08 	 4.3412e+49 	 4.81621
11.849 	 6.78004 	 3.73609e-05 	 4.54718e+08 	 4.14828e+49 	 5.06892
12.1419 	 6.80004 	 4.07735e-05 	 4.34006e+08 	 3.95933e+49 	 5.34185
12.4569 	 6.82004 	 4.45949e-05 	 4.13758e+08 	 3.77461e+49 	 5.63684
12.796 	 6.84005 	 4.88808e-05 	 3.93995e+08 	 3.59432e+49 	 5.95591
13.1613 	 6.86005 	 5.36958e-05 	 3.7474e+08 	 3.41866e+49 	 6.30128
13.5555 	 6.88006 	 5.91141e-05 	 3.5601e+08 	 3.24779e+49 	 6.67544
13.9811 	 6.90006 	 6.52216e-05 	 3.37823e+08 	 3.08187e+49 	 7.08108
14.4413 	 6.92007 	 7.21175e-05 	 3.20192e+08 	 2.92103e+49 	 7.52123
14.9393 	 6.94008 	 7.99166e-05 	 3.03127e+08 	 2.76535e+49 	 7.99921
15.4788 	 6.96009 	 8.87521e-05 	 2.8664e+08 	 2.61494e+49 	 8.51868
16.0638 	 6.9801 	 9.87787e-05 	 2.70735e+08 	 2.46985e+49 	 9.0837
16.6989 	 7.00011 	 0.000110176 	 2.55418e+08 	 2.33012e+49 	 9.69877
17.389 	 7.02012 	 0.000123152 	 2.40692e+08 	 2.19577e+49 	 10.3689
18.1396 	 7.04014 	 0.000137952 	 2.26557e+08 	 2.06682e+49 	 11.0994
18.9567 	 7.06015 	 0.000154856 	 2.13011e+08 	 1.94325e+49 	 11.8966
19.8472 	 7.08017 	 0.000174198 	 2.00052e+08 	 1.82502e+49 	 12.767
20.8184 	 7.1002 	 0.00019636 	 1.87674e+08 	 1.7121e+49 	 13.7182
21.8785 	 7.12022 	 0.000221794 	 1.7587e+08 	 1.60442e+49 	 14.7583
23.0365 	 7.14025 	 0.000251025 	 1.64632e+08 	 1.5019e+49 	 15.8963
24.3025 	 7.16028 	 0.000284667 	 1.53952e+08 	 1.40446e+49 	 17.1422
25.6874 	 7.18032 	 0.000323437 	 1.43817e+08 	 1.31201e+49 	 18.5071
27.2034 	 7.20037 	 0.000368173 	 1.34216e+08 	 1.22442e+49 	 20.003
28.8637 	 7.22042 	 0.000419852 	 1.25135e+08 	 1.14158e+49 	 21.6433
30.6829 	 7.24048 	 0.000479617 	 1.16561e+08 	 1.06336e+49 	 23.4424
32.6769 	 7.26055 	 0.000548799 	 1.08479e+08 	 9.89624e+48 	 25.4163
34.8631 	 7.28063 	 0.000628947 	 1.00872e+08 	 9.2023e+48 	 27.5825
37.2605 	 7.30072 	 0.000721864 	 9.37249e+07 	 8.55029e+48 	 29.9598
39.8894 	 7.32083 	 0.000829642 	 8.70208e+07 	 7.93869e+48 	 32.5686
42.7721 	 7.34095 	 0.0009547 	 8.07425e+07 	 7.36594e+48 	 35.4311
45.9321 	 7.3611 	 0.00109983 	 7.48727e+07 	 6.83045e+48 	 38.571
49.3948 	 7.38127 	 0.00126826 	 6.93938e+07 	 6.33062e+48 	 42.0136
53.1869 	 7.40146 	 0.00146365 	 6.42882e+07 	 5.86485e+48 	 45.7854
57.3364 	 7.42169 	 0.0016902 	 5.95384e+07 	 5.43154e+48 	 49.9147
61.8724 	 7.44195 	 0.00195267 	 5.51269e+07 	 5.02908e+48 	 54.4304
66.8247 	 7.46226 	 0.00225637 	 5.10363e+07 	 4.65591e+48 	 59.3624
72.2233 	 7.4826 	 0.00260728 	 4.72496e+07 	 4.31046e+48 	 64.7407
78.098 	 7.50301 	 0.00301195 	 4.37501e+07 	 3.99121e+48 	 70.595
84.4771 	 7.52348 	 0.00347755 	 4.05215e+07 	 3.69667e+48 	 76.9537
91.387 	 7.54401 	 0.00401177 	 3.75479e+07 	 3.4254e+48 	 83.843
98.8505 	 7.56462 	 0.00462272 	 3.48139e+07 	 3.17598e+48 	 91.2859
106.886 	 7.58532 	 0.00531877 	 3.23047e+07 	 2.94707e+48 	 99.3006
115.505 	 7.60611 	 0.00610829 	 3.0006e+07 	 2.73737e+48 	 107.899
124.711 	 7.627 	 0.00699935 	 2.79041e+07 	 2.54562e+48 	 117.084
134.499 	 7.648 	 0.00799923 	 2.5986e+07 	 2.37063e+48 	 126.851
144.849 	 7.66911 	 0.00911398 	 2.42393e+07 	 2.21129e+48 	 137.18
155.728 	 7.69035 	 0.0103477 	 2.26524e+07 	 2.06652e+48 	 148.038
167.087 	 7.7117 	 0.011702 	 2.12141e+07 	 1.93531e+48 	 159.376
178.859 	 7.73317 	 0.013175 	 1.99143e+07 	 1.81673e+48 	 171.126
190.956 	 7.75476 	 0.0147607 	 1.87431e+07 	 1.70988e+48 	 183.201
203.271 	 7.77644 	 0.0164481 	 1.76917e+07 	 1.61397e+48 	 195.495
215.676 	 7.79822 	 0.0182209 	 1.67518e+07 	 1.52822e+48 	 207.877
228.022 	 7.82005 	 0.0200567 	 1.59157e+07 	 1.45195e+48 	 220.202
240.143 	 7.84193 	 0.021927 	 1.51767e+07 	 1.38453e+48 	 232.301
251.86 	 7.8638 	 0.0237975 	 1.45283e+07 	 1.32538e+48 	 243.996
262.981 	 7.88564 	 0.0256289 	 1.3965e+07 	 1.27399e+48 	 255.096
273.311 	 7.90738 	 0.0273781 	 1.34819e+07 	 1.22992e+48 	 265.404
282.655 	 7.92902 	 0.0289996 	 1.30744e+07 	 1.19275e+48 	 274.726
290.829 	 7.95044 	 0.0304479 	 1.2739e+07 	 1.16214e+48 	 282.878
297.663 	 7.97168 	 0.0316798 	 1.24723e+07 	 1.13782e+48 	 289.691
303.011 	 7.99268 	 0.0326569 	 1.22719e+07 	 1.11953e+48 	 295.019
306.76 	 8.01337 	 0.0333475 	 1.21357e+07 	 1.10711e+48 	 298.747
308.829 	 8.03372 	 0.0337294 	 1.20622e+07 	 1.1004e+48 	 300.795
309.176 	 8.0538 	 0.0337907 	 1.20505e+07 	 1.09934e+48 	 301.122
307.803 	 8.07355 	 0.0335305 	 1.21003e+07 	 1.10388e+48 	 299.729
304.749 	 8.09296 	 0.0329595 	 1.22117e+07 	 1.11404e+48 	 296.656
300.095 	 8.11209 	 0.0320988 	 1.23852e+07 	 1.12987e+48 	 291.983
293.954 	 8.13098 	 0.0309781 	 1.26222e+07 	 1.15149e+48 	 285.824
286.47 	 8.14963 	 0.0296346 	 1.29242e+07 	 1.17905e+48 	 278.32
277.806 	 8.16812 	 0.0281099 	 1.32935e+07 	 1.21273e+48 	 269.638
268.143 	 8.18646 	 0.026448 	 1.37327e+07 	 1.2528e+48 	 259.956
257.669 	 8.2047 	 0.0246929 	 1.42449e+07 	 1.29953e+48 	 249.464
246.574 	 8.22289 	 0.0228869 	 1.48338e+07 	 1.35325e+48 	 238.351
235.041 	 8.24107 	 0.0210683 	 1.55035e+07 	 1.41434e+48 	 226.8
223.245 	 8.25928 	 0.0192712 	 1.62585e+07 	 1.48322e+48 	 214.986
211.347 	 8.27753 	 0.0175239 	 1.71039e+07 	 1.56034e+48 	 203.069
199.488 	 8.29585 	 0.0158493 	 1.80451e+07 	 1.64621e+48 	 191.192
187.794 	 8.31427 	 0.0142643 	 1.90882e+07 	 1.74136e+48 	 179.48
176.37 	 8.33278 	 0.0127811 	 2.02393e+07 	 1.84638e+48 	 168.037
165.302 	 8.35141 	 0.0114068 	 2.15052e+07 	 1.96187e+48 	 156.951
154.658 	 8.37015 	 0.0101446 	 2.28931e+07 	 2.08848e+48 	 146.287
144.487 	 8.38899 	 0.00899453 	 2.44105e+07 	 2.22691e+48 	 136.098
134.826 	 8.40796 	 0.00795378 	 2.60651e+07 	 2.37785e+48 	 126.418
125.696 	 8.42702 	 0.00701775 	 2.7865e+07 	 2.54206e+48 	 117.269
117.108 	 8.44618 	 0.0061804 	 2.98187e+07 	 2.72029e+48 	 108.661
109.061 	 8.46544 	 0.00543485 	 3.19348e+07 	 2.91333e+48 	 100.595
101.548 	 8.48477 	 0.00477374 	 3.42221e+07 	 3.122e+48 	 93.0636
94.5568 	 8.50419 	 0.00418953 	 3.66896e+07 	 3.3471e+48 	 86.0527
88.0677 	 8.52367 	 0.00367483 	 3.93464e+07 	 3.58947e+48 	 79.544
82.0591 	 8.54322 	 0.00322251 	 4.22015e+07 	 3.84994e+48 	 73.5159
76.5068 	 8.56283 	 0.00282581 	 4.52642e+07 	 4.12934e+48 	 67.9439
71.385 	 8.58248 	 0.00247849 	 4.85436e+07 	 4.42851e+48 	 62.8025
66.6673 	 8.60218 	 0.00217479 	 5.20485e+07 	 4.74826e+48 	 58.0652
62.3272 	 8.62191 	 0.00190951 	 5.57879e+07 	 5.08939e+48 	 53.7053
58.3385 	 8.64168 	 0.00167793 	 5.97703e+07 	 5.4527e+48 	 49.6969
54.6757 	 8.66148 	 0.00147586 	 6.4004e+07 	 5.83892e+48 	 46.0143
51.3143 	 8.6813 	 0.00129958 	 6.84968e+07 	 6.24879e+48 	 42.633
48.2309 	 8.70115 	 0.00114578 	 7.32563e+07 	 6.68299e+48 	 39.5298
45.4036 	 8.72101 	 0.00101156 	 7.82894e+07 	 7.14214e+48 	 36.6825
42.8114 	 8.74089 	 0.000894381 	 8.36025e+07 	 7.62685e+48 	 34.0705
40.4351 	 8.76079 	 0.000792021 	 8.92014e+07 	 8.13762e+48 	 31.6743
38.2566 	 8.7807 	 0.00070254 	 9.50912e+07 	 8.67493e+48 	 29.4759
36.2593 	 8.80062 	 0.000624251 	 1.01276e+08 	 9.23916e+48 	 27.4587
34.4278 	 8.82055 	 0.000555687 	 1.07759e+08 	 9.83063e+48 	 25.6072
32.7478 	 8.84049 	 0.000495576 	 1.14544e+08 	 1.04496e+49 	 23.9073
31.2064 	 8.86044 	 0.000442816 	 1.21631e+08 	 1.10961e+49 	 22.3459
29.7915 	 8.8804 	 0.00039645 	 1.29022e+08 	 1.17704e+49 	 20.9112
28.4924 	 8.90035 	 0.000355651 	 1.36716e+08 	 1.24722e+49 	 19.592
27.2989 	 8.92032 	 0.000319702 	 1.44711e+08 	 1.32016e+49 	 18.3786
26.202 	 8.94029 	 0.000287982 	 1.53004e+08 	 1.39582e+49 	 17.2617
25.1934 	 8.96026 	 0.000259953 	 1.61592e+08 	 1.47417e+49 	 16.2331
24.2655 	 8.98024 	 0.00023515 	 1.7047e+08 	 1.55515e+49 	 15.2852
23.4113 	 9.00021 	 0.000213167 	 1.79631e+08 	 1.63872e+49 	 14.4111
22.6247 	 9.02019 	 0.000193656 	 1.89067e+08 	 1.72481e+49 	 13.6045
21.8999 	 9.04018 	 0.000176311 	 1.98769e+08 	 1.81332e+49 	 12.8597
21.2317 	 9.06016 	 0.000160868 	 2.08728e+08 	 1.90417e+49 	 12.1716
20.6154 	 9.08015 	 0.000147098 	 2.18932e+08 	 1.99726e+49 	 11.5353
20.0467 	 9.10013 	 0.0001348 	 2.29367e+08 	 2.09246e+49 	 10.9466
19.5217 	 9.12012 	 0.0001238 	 2.40019e+08 	 2.18964e+49 	 10.4015
19.0367 	 9.14011 	 0.000113947 	 2.50874e+08 	 2.28866e+49 	 9.89662
18.5887 	 9.16011 	 0.000105108 	 2.61915e+08 	 2.38938e+49 	 9.42856
18.1745 	 9.1801 	 9.71658e-05 	 2.73123e+08 	 2.49163e+49 	 8.99442
17.7916 	 9.20009 	 9.00202e-05 	 2.84479e+08 	 2.59523e+49 	 8.5915
17.4374 	 9.22008 	 8.35818e-05 	 2.95964e+08 	 2.7e+49 	 8.21735
17.1098 	 9.24008 	 7.77727e-05 	 3.07556e+08 	 2.80575e+49 	 7.86976
16.8067 	 9.26007 	 7.25244e-05 	 3.19232e+08 	 2.91227e+49 	 7.54667
16.5263 	 9.28007 	 6.77766e-05 	 3.3097e+08 	 3.01936e+49 	 7.24624
16.2668 	 9.30006 	 6.34762e-05 	 3.42746e+08 	 3.12678e+49 	 6.96677
16.0268 	 9.32006 	 5.95766e-05 	 3.54534e+08 	 3.23432e+49 	 6.70672
15.8047 	 9.34006 	 5.60363e-05 	 3.66309e+08 	 3.34175e+49 	 6.46467
15.5994 	 9.36005 	 5.2819e-05 	 3.78045e+08 	 3.44881e+49 	 6.23934
15.4096 	 9.38005 	 4.98923e-05 	 3.89715e+08 	 3.55527e+49 	 6.02955
15.2343 	 9.40005 	 4.72277e-05 	 4.01291e+08 	 3.66088e+49 	 5.83422
15.0724 	 9.42004 	 4.47998e-05 	 4.12747e+08 	 3.76539e+49 	 5.65237
14.9231 	 9.44004 	 4.25862e-05 	 4.24054e+08 	 3.86854e+49 	 5.4831
14.7856 	 9.46004 	 4.05667e-05 	 4.35185e+08 	 3.97008e+49 	 5.32558
14.6591 	 9.48004 	 3.87238e-05 	 4.46112e+08 	 4.06976e+49 	 5.17907
14.5429 	 9.50004 	 3.70414e-05 	 4.56806e+08 	 4.16732e+49 	 5.04286
14.4364 	 9.52003 	 3.55055e-05 	 4.67241e+08 	 4.26252e+49 	 4.91634
14.339 	 9.54003 	 3.41036e-05 	 4.77388e+08 	 4.35509e+49 	 4.79893
14.2501 	 9.56003 	 3.28243e-05 	 4.87222e+08 	 4.4448e+49 	 4.6901
14.1694 	 9.58003 	 3.16579e-05 	 4.96716e+08 	 4.53141e+49 	 4.58938
14.0963 	 9.60003 	 3.05952e-05 	 5.05844e+08 	 4.61468e+49 	 4.49632
14.0306 	 9.62003 	 2.96284e-05 	 5.14581e+08 	 4.69439e+49 	 4.41052
13.9717 	 9.64003 	 2.87503e-05 	 5.22904e+08 	 4.77032e+49 	 4.33162
13.9193 	 9.66003 	 2.79547e-05 	 5.30789e+08 	 4.84225e+49 	 4.2593
13.8733 	 9.68003 	 2.7236e-05 	 5.38214e+08 	 4.90999e+49 	 4.19325
13.8332 	 9.70003 	 2.6589e-05 	 5.45159e+08 	 4.97335e+49 	 4.1332
13.7989 	 9.72003 	 2.60095e-05 	 5.51604e+08 	 5.03215e+49 	 4.07891
13.7702 	 9.74002 	 2.54935e-05 	 5.57531e+08 	 5.08622e+49 	 4.03016
13.7468 	 9.76003 	 2.50375e-05 	 5.62923e+08 	 5.13541e+49 	 3.98676
13.7286 	 9.78002 	 2.46387e-05 	 5.67765e+08 	 5.17957e+49 	 3.94853
13.7154 	 9.80002 	 2.42944e-05 	 5.72042e+08 	 5.2186e+49 	 3.91533
13.7071 	 9.82002 	 2.40024e-05 	 5.75743e+08 	 5.25236e+49 	 3.88703
13.7035 	 9.84002 	 2.37608e-05 	 5.78858e+08 	 5.28077e+49 	 3.86351
13.7047 	 9.86002 	 2.35682e-05 	 5.81377e+08 	 5.30375e+49 	 3.84468
13.7105 	 9.88002 	 2.34232e-05 	 5.83293e+08 	 5.32124e+49 	 3.83047
13.7209 	 9.90002 	 2.3325e-05 	 5.84602e+08 	 5.33317e+49 	 3.82083
13.7357 	 9.92002 	 2.32729e-05 	 5.85299e+08 	 5.33953e+49 	 3.81571
13.7551 	 9.94002 	 2.32666e-05 	 5.85383e+08 	 5.3403e+49 	 3.81509
13.779 	 9.96002 	 2.33061e-05 	 5.84855e+08 	 5.33548e+49 	 3.81897
13.8074 	 9.98002 	 2.33915e-05 	 5.83715e+08 	 5.32509e+49 	 3.82736
