TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
2.04774e+00	1.83875e+03	5.50627e+13	1.35709e+02	6.06396e+27	4.00000e+02	5.56327e+25	1.37318e+02	1.14679e+00	
2.04988e+00	1.91956e+03	5.74853e+13	1.00000e+02	2.22531e+26	1.37318e+02	6.11959e+27	1.35776e+02	1.14006e+00	
2.05001e+00	1.92413e+03	5.76223e+13	1.35776e+02	6.34212e+27	4.00000e+02	5.56327e+25	1.37315e+02	1.04604e+00	
2.05215e+00	2.00484e+03	6.00419e+13	1.00000e+02	2.22531e+26	1.37315e+02	6.39776e+27	1.35837e+02	1.04001e+00	
2.05227e+00	2.00951e+03	6.01819e+13	1.35837e+02	6.62029e+27	4.00000e+02	5.56327e+25	1.37311e+02	9.57916e-01	
2.05441e+00	2.09012e+03	6.25986e+13	1.00000e+02	2.22531e+26	1.37311e+02	6.67592e+27	1.35893e+02	9.52490e-01	
2.05454e+00	2.09488e+03	6.27414e+13	1.35893e+02	6.89845e+27	4.00000e+02	5.56327e+25	1.37308e+02	8.80400e-01	
2.05668e+00	2.17541e+03	6.51552e+13	1.00000e+02	2.22531e+26	1.37308e+02	6.95408e+27	1.35945e+02	8.75499e-01	
2.05681e+00	2.18026e+03	6.53008e+13	1.35945e+02	7.17661e+27	4.00000e+02	5.56327e+25	1.37306e+02	8.11859e-01	
2.05894e+00	2.26069e+03	6.77120e+13	1.00000e+02	2.22531e+26	1.37306e+02	7.23225e+27	1.35993e+02	8.07416e-01	
2.05907e+00	2.26563e+03	6.78601e+13	1.35993e+02	7.45478e+27	4.00000e+02	5.56327e+25	1.37303e+02	7.50961e-01	
2.06120e+00	2.34598e+03	7.02688e+13	1.00000e+02	2.22531e+26	1.37303e+02	7.51041e+27	1.36037e+02	7.46918e-01	
2.06134e+00	2.35101e+03	7.04195e+13	1.36037e+02	7.73294e+27	4.00000e+02	5.56327e+25	1.37300e+02	6.96612e-01	
2.06347e+00	2.43127e+03	7.28256e+13	1.00000e+02	2.22531e+26	1.37300e+02	7.78857e+27	1.36078e+02	6.92921e-01	
2.06361e+00	2.43638e+03	7.29787e+13	1.36078e+02	8.01110e+27	4.00000e+02	5.56327e+25	1.37298e+02	6.47909e-01	
2.06573e+00	2.51656e+03	7.53825e+13	1.00000e+02	2.22531e+26	1.37298e+02	8.06674e+27	1.36117e+02	6.44528e-01	
2.06587e+00	2.52175e+03	7.55380e+13	1.36117e+02	8.28927e+27	4.00000e+02	5.56327e+25	1.37296e+02	6.04096e-01	
2.06800e+00	2.60185e+03	7.79394e+13	1.00000e+02	2.22531e+26	1.37296e+02	8.34490e+27	1.36153e+02	6.00991e-01	
2.06814e+00	2.60711e+03	7.80972e+13	1.36153e+02	8.56743e+27	4.00000e+02	5.56327e+25	1.37294e+02	5.64542e-01	
2.07026e+00	2.68714e+03	8.04963e+13	1.00000e+02	2.22531e+26	1.37294e+02	8.62306e+27	1.36186e+02	5.61683e-01	
2.07041e+00	2.69248e+03	8.06563e+13	1.36186e+02	8.84559e+27	4.00000e+02	5.56327e+25	1.37291e+02	5.28713e-01	
2.07253e+00	2.77244e+03	8.30533e+13	1.00000e+02	2.22531e+26	1.37291e+02	8.90123e+27	1.36218e+02	5.26074e-01	
2.07267e+00	2.77785e+03	8.32154e+13	1.36218e+02	9.12376e+27	4.00000e+02	5.56327e+25	1.37290e+02	4.96157e-01	
2.07479e+00	2.85773e+03	8.56103e+13	1.00000e+02	2.22531e+26	1.37290e+02	9.17939e+27	1.36248e+02	4.93715e-01	
2.07494e+00	2.86321e+03	8.57745e+13	1.36248e+02	9.40192e+27	4.00000e+02	5.56327e+25	1.37288e+02	4.66489e-01	
2.07706e+00	2.94303e+03	8.81673e+13	1.00000e+02	2.22531e+26	1.37288e+02	9.45755e+27	1.36276e+02	4.64223e-01	
2.07721e+00	2.94857e+03	8.83336e+13	1.36276e+02	9.68009e+27	4.00000e+02	5.56327e+25	1.37286e+02	4.39376e-01	
2.07932e+00	3.02832e+03	9.07244e+13	1.00000e+02	2.22531e+26	1.37286e+02	9.73572e+27	1.36302e+02	4.37271e-01	
2.07947e+00	3.03394e+03	9.08926e+13	1.36302e+02	9.95825e+27	4.00000e+02	5.56327e+25	1.37284e+02	4.14536e-01	
2.08159e+00	3.11362e+03	9.32815e+13	1.00000e+02	2.22531e+26	1.37284e+02	1.00139e+28	1.36327e+02	4.12575e-01	
2.08174e+00	3.11930e+03	9.34516e+13	1.36327e+02	1.02364e+28	4.00000e+02	5.56327e+25	1.37282e+02	3.91721e-01	
2.08385e+00	3.19892e+03	9.58386e+13	1.00000e+02	2.22531e+26	1.37282e+02	1.02920e+28	1.36350e+02	3.89891e-01	
2.08401e+00	3.20466e+03	9.60106e+13	1.36350e+02	1.05146e+28	4.00000e+02	5.56327e+25	1.37281e+02	3.70717e-01	
2.08612e+00	3.28422e+03	9.83957e+13	1.00000e+02	2.22531e+26	1.37281e+02	1.05702e+28	1.36373e+02	3.69006e-01	
2.08627e+00	3.29002e+03	9.85695e+13	1.36373e+02	1.07927e+28	4.00000e+02	5.56327e+25	1.37279e+02	3.51339e-01	
2.08838e+00	3.36952e+03	1.00953e+14	1.00000e+02	2.22531e+26	1.37279e+02	1.08484e+28	1.36394e+02	3.49737e-01	
2.08854e+00	3.37538e+03	1.01128e+14	1.36394e+02	1.10709e+28	4.00000e+02	5.56327e+25	1.37278e+02	3.33423e-01	
2.09065e+00	3.45482e+03	1.03510e+14	1.00000e+02	2.22531e+26	1.37278e+02	1.11265e+28	1.36414e+02	3.31921e-01	
2.09081e+00	3.46073e+03	1.03687e+14	1.36414e+02	1.13491e+28	4.00000e+02	5.56327e+25	1.37276e+02	3.16827e-01	
2.09291e+00	3.54012e+03	1.06067e+14	1.00000e+02	2.22531e+26	1.37276e+02	1.14047e+28	1.36433e+02	3.15415e-01	
2.09308e+00	3.54609e+03	1.06246e+14	1.36433e+02	1.16272e+28	4.00000e+02	5.56327e+25	1.37275e+02	3.01424e-01	
2.09518e+00	3.62542e+03	1.08624e+14	1.00000e+02	2.22531e+26	1.37275e+02	1.16829e+28	1.36452e+02	3.00096e-01	
2.09534e+00	3.63145e+03	1.08805e+14	1.36452e+02	1.19054e+28	4.00000e+02	5.56327e+25	1.37274e+02	2.87102e-01	
2.09745e+00	3.71073e+03	1.11182e+14	1.00000e+02	2.22531e+26	1.37274e+02	1.19610e+28	1.36469e+02	2.85851e-01	
2.09761e+00	3.71680e+03	1.11364e+14	1.36469e+02	1.21836e+28	4.00000e+02	5.56327e+25	1.37273e+02	2.73764e-01	
2.09971e+00	3.79603e+03	1.13739e+14	1.00000e+02	2.22531e+26	1.37273e+02	1.22392e+28	1.36486e+02	2.72584e-01	
2.09988e+00	3.80216e+03	1.13923e+14	1.36486e+02	1.24617e+28	4.00000e+02	5.56327e+25	1.37271e+02	2.61322e-01	
2.10198e+00	3.88133e+03	1.16296e+14	1.00000e+02	2.22531e+26	1.37271e+02	1.25174e+28	1.36502e+02	2.60207e-01	
2.10214e+00	3.88751e+03	1.16482e+14	1.36502e+02	1.27399e+28	4.00000e+02	5.56327e+25	1.37270e+02	2.49697e-01	
2.10424e+00	3.96664e+03	1.18854e+14	1.00000e+02	2.22531e+26	1.37270e+02	1.27955e+28	1.36517e+02	2.48642e-01	
2.10441e+00	3.97287e+03	1.19040e+14	1.36517e+02	1.30180e+28	4.00000e+02	5.56327e+25	1.37269e+02	2.38819e-01	
2.10651e+00	4.05194e+03	1.21411e+14	1.00000e+02	2.22531e+26	1.37269e+02	1.30737e+28	1.36532e+02	2.37821e-01	
2.10668e+00	4.05822e+03	1.21599e+14	1.36532e+02	1.32962e+28	4.00000e+02	5.56327e+25	1.37268e+02	2.28627e-01	
2.10877e+00	4.13725e+03	1.23968e+14	1.00000e+02	2.22531e+26	1.37268e+02	1.33518e+28	1.36546e+02	2.27680e-01	
