TimeObs (s) 	TimeJet (s) 	Rcoll (cm) 	DSGamma 	DSMass (g) 	UPGamma 	UPMass (g) 	Gammaf 	tau
8.74658e+00	7.15200e+03	2.14149e+14	8.43052e+01	2.63958e+26	8.82568e+01	1.08380e+28	8.81607e+01	1.65255e-01	
8.74674e+00	7.15452e+03	2.14225e+14	8.81607e+01	1.11020e+28	9.28199e+01	2.39745e+26	8.82567e+01	1.65182e-01	
8.74688e+00	7.15668e+03	2.14289e+14	8.41405e+01	2.64475e+26	8.82567e+01	1.13417e+28	8.81607e+01	1.64973e-01	
8.74701e+00	7.15880e+03	2.14353e+14	8.81607e+01	1.16062e+28	9.30413e+01	2.39174e+26	8.82567e+01	1.64874e-01	
8.74719e+00	7.16159e+03	2.14437e+14	8.39771e+01	2.64990e+26	8.82567e+01	1.18454e+28	8.81607e+01	1.64684e-01	
8.74730e+00	7.16326e+03	2.14486e+14	8.81607e+01	1.21104e+28	9.32640e+01	2.38603e+26	8.82567e+01	1.64556e-01	
8.74752e+00	7.16675e+03	2.14591e+14	8.38149e+01	2.65502e+26	8.82567e+01	1.23490e+28	8.81608e+01	1.64387e-01	
8.74760e+00	7.16788e+03	2.14625e+14	8.81608e+01	1.26145e+28	9.34879e+01	2.38032e+26	8.82567e+01	1.64227e-01	
8.74787e+00	7.17215e+03	2.14753e+14	8.36541e+01	2.66013e+26	8.82567e+01	1.28525e+28	8.81608e+01	1.64083e-01	
8.74790e+00	7.17267e+03	2.14769e+14	8.81608e+01	1.31185e+28	9.37129e+01	2.37460e+26	8.82567e+01	1.63888e-01	
8.74822e+00	7.17762e+03	2.14917e+14	8.82567e+01	1.33560e+28	9.39392e+01	2.36888e+26	8.83528e+01	1.63864e-01	
8.74823e+00	7.17779e+03	2.14922e+14	8.34947e+01	2.66521e+26	8.83528e+01	1.35929e+28	8.82567e+01	1.63546e-01	
8.74855e+00	7.18273e+03	2.15070e+14	8.82567e+01	1.38594e+28	9.41666e+01	2.36316e+26	8.83527e+01	1.63538e-01	
8.74861e+00	7.18367e+03	2.15098e+14	8.33365e+01	2.67027e+26	8.83527e+01	1.40957e+28	8.82567e+01	1.63222e-01	
8.74889e+00	7.18800e+03	2.15228e+14	8.82567e+01	1.43627e+28	9.43953e+01	2.35744e+26	8.83526e+01	1.63179e-01	
8.74900e+00	7.18980e+03	2.15282e+14	8.31796e+01	2.67530e+26	8.83526e+01	1.45985e+28	8.82567e+01	1.62890e-01	
8.74924e+00	7.19344e+03	2.15391e+14	8.82567e+01	1.48660e+28	9.46251e+01	2.35171e+26	8.83526e+01	1.62809e-01	
8.74941e+00	7.19618e+03	2.15473e+14	8.30241e+01	2.68031e+26	8.83526e+01	1.51012e+28	8.82567e+01	1.62552e-01	
8.74960e+00	7.19904e+03	2.15559e+14	8.82567e+01	1.53692e+28	9.48561e+01	2.34598e+26	8.83525e+01	1.62428e-01	
8.74984e+00	7.20281e+03	2.15672e+14	8.28699e+01	2.68530e+26	8.83525e+01	1.56038e+28	8.82568e+01	1.62207e-01	
8.74997e+00	7.20480e+03	2.15732e+14	8.82568e+01	1.58723e+28	9.50883e+01	2.34025e+26	8.83525e+01	1.62037e-01	
8.75028e+00	7.20970e+03	2.15879e+14	8.27171e+01	2.69026e+26	8.83525e+01	1.61064e+28	8.82568e+01	1.61856e-01	
8.75035e+00	7.21072e+03	2.15909e+14	8.82568e+01	1.63754e+28	9.53216e+01	2.33452e+26	8.83525e+01	1.61635e-01	
8.75074e+00	7.21681e+03	2.16092e+14	8.83525e+01	1.66088e+28	9.55562e+01	2.32879e+26	8.84484e+01	1.61590e-01	
8.75074e+00	7.21685e+03	2.16093e+14	8.25656e+01	2.69520e+26	8.84484e+01	1.68417e+28	8.83525e+01	1.61225e-01	
8.75113e+00	7.22303e+03	2.16278e+14	8.83525e+01	1.71112e+28	9.57919e+01	2.32306e+26	8.84483e+01	1.61223e-01	
8.75121e+00	7.22425e+03	2.16315e+14	8.24154e+01	2.70011e+26	8.84483e+01	1.73435e+28	8.83525e+01	1.60855e-01	
8.75154e+00	7.22942e+03	2.16470e+14	8.83525e+01	1.76136e+28	9.60288e+01	2.31733e+26	8.84483e+01	1.60801e-01	
8.75170e+00	7.23190e+03	2.16544e+14	8.22665e+01	2.70500e+26	8.84483e+01	1.78453e+28	8.83525e+01	1.60479e-01	
8.75196e+00	7.23596e+03	2.16666e+14	8.83525e+01	1.81158e+28	9.62669e+01	2.31160e+26	8.84482e+01	1.60369e-01	
8.75221e+00	7.23983e+03	2.16782e+14	8.21190e+01	2.70986e+26	8.84482e+01	1.83470e+28	8.83526e+01	1.60097e-01	
8.75239e+00	7.24267e+03	2.16867e+14	8.83526e+01	1.86179e+28	9.65061e+01	2.30587e+26	8.84482e+01	1.59926e-01	
8.75273e+00	7.24802e+03	2.17027e+14	8.19728e+01	2.71469e+26	8.84482e+01	1.88485e+28	8.83527e+01	1.59709e-01	
8.75283e+00	7.24952e+03	2.17073e+14	8.83527e+01	1.91200e+28	9.67465e+01	2.30014e+26	8.84482e+01	1.59473e-01	
8.75327e+00	7.25649e+03	2.17281e+14	8.18280e+01	2.71949e+26	8.84482e+01	1.93500e+28	8.83527e+01	1.59315e-01	
8.75328e+00	7.25654e+03	2.17283e+14	8.83527e+01	1.96220e+28	9.69880e+01	2.29441e+26	8.84482e+01	1.59009e-01	
8.75373e+00	7.26369e+03	2.17497e+14	8.84482e+01	1.98514e+28	9.72307e+01	2.28869e+26	8.85438e+01	1.59007e-01	
8.75383e+00	7.26521e+03	2.17543e+14	8.16845e+01	2.72427e+26	8.85438e+01	2.00803e+28	8.84482e+01	1.58602e-01	
8.75420e+00	7.27099e+03	2.17716e+14	8.84482e+01	2.03527e+28	9.74746e+01	2.28296e+26	8.85437e+01	1.58536e-01	
8.75441e+00	7.27421e+03	2.17812e+14	8.15423e+01	2.72902e+26	8.85437e+01	2.05810e+28	8.84482e+01	1.58192e-01	
8.75468e+00	7.27845e+03	2.17940e+14	8.84482e+01	2.08539e+28	9.77196e+01	2.27724e+26	8.85437e+01	1.58052e-01	
